1 	A Brave Refrain 	James-Whitcomb-Riley 	kids 	139 	126 	there are breathtaking descriptions of kids by James-Whitcomb-Riley 	1505 	images/book/kids/7.jpeg 	
42 	A, B, C 	Charles-Stuart-Calverley 	fiction 	142 	125 	this is a good book on fiction by Charles-Stuart-Calverley 	1050 	images/book/fiction/33.jpeg 	
43 	A, B, C 	Thomas-W.-Talley 	fiction 	126 	107 	this is a good book on fiction by Thomas-W.-Talley 	1519 	images/book/fiction/13.jpeg 	
44 	A-A-A-Int They Thick? 	Falconbridge 	fiction 	164 	145 	this book talks about fiction by Falconbridge 	1741 	images/book/fiction/34.jpeg 	
45 	A-B-C-Of Army Life 	W.-E.-Christian 	health 	196 	167 	this is a good book on health by W.-E.-Christian 	1761 	images/book/health/3.jpeg 	
46 	A-Hunting Of The Deer 	Charles-Dudley-Warner 	fiction 	122 	102 	this book talks about fiction by Charles-Dudley-Warner 	1441 	images/book/fiction/55.jpeg 	
47 	A. B. A. 	Louisa-May-Alcott 	biography 	191 	180 	there are breathtaking descriptions of biography by Louisa-May-Alcott 	1260 	images/book/biography/42.jpeg 	
48 	A. D. Blood 	Edgar-Lee-Masters 	fiction 	131 	111 	this is a good book on fiction by Edgar-Lee-Masters 	1698 	images/book/fiction/28.jpeg 	
49 	A. D. Nineteen Hundred 	Madison-Julius-Cawein 	health 	174 	132 	there are breathtaking descriptions of health by Madison-Julius-Cawein 	1597 	images/book/health/36.jpeg 	
50 	A. H. 	Ralph-Waldo-Emerson 	biography 	119 	89 	this book talks about biography by Ralph-Waldo-Emerson 	1297 	images/book/biography/37.jpeg 	
51 	A. M. D. [Sonnet] 	George-MacDonald 	science 	183 	180 	this is a good book on science by George-MacDonald 	1866 	images/book/science/51.jpeg 	
52 	A. R. (Died April 21st, 1865) 	J.-C.-Manning 	science 	188 	139 	this is a good book on science by J.-C.-Manning 	1137 	images/book/science/37.jpeg 	
53 	A. T. Stewart 	Elbert-Hubbard 	science 	119 	100 	this is a masterpiece on science by Elbert-Hubbard 	1008 	images/book/science/33.jpeg 	
54 	A. V. Laider 	Max-Beerbohm 	fiction 	184 	177 	this is a masterpiece on fiction by Max-Beerbohm 	1443 	images/book/fiction/74.jpeg 	
55 	Aager And Eliza 	George-Borrow 	kids 	192 	179 	this is a masterpiece on kids by George-Borrow 	1934 	images/book/kids/40.jpeg 	
56 	Aaron Hatfield 	Edgar-Lee-Masters 	fiction 	181 	170 	this is a good book on fiction by Edgar-Lee-Masters 	1724 	images/book/fiction/22.jpeg 	
57 	Aaron Stark 	Edwin-Arlington-Robinson 	health 	118 	118 	this is a masterpiece on health by Edwin-Arlington-Robinson 	1893 	images/book/health/171.jpeg 	
58 	Aaron Trow 	Anthony-Trollope 	health 	178 	161 	this is a good book on health by Anthony-Trollope 	1303 	images/book/health/103.jpeg 	
59 	Aarons Rod 	D.-H.-Lawrence 	kids 	177 	132 	this is a good book on kids by D.-H.-Lawrence 	1133 	images/book/kids/16.jpeg 	
60 	Abandoned 	Madison-Julius-Cawein 	health 	144 	133 	this is a masterpiece on health by Madison-Julius-Cawein 	1734 	images/book/health/44.jpeg 	
61 	Abandoned 	Guy-De-Maupassant 	kids 	124 	90 	there are breathtaking descriptions of kids by Guy-De-Maupassant 	1850 	images/book/kids/49.jpeg 	
62 	Abandoned God, The 	Eunice-Tietjens 	kids 	151 	133 	this book talks about kids by Eunice-Tietjens 	1392 	images/book/kids/33.jpeg 	
63 	Abandoned Inn, An 	David-Morton 	health 	117 	107 	this is a good book on health by David-Morton 	1728 	images/book/health/176.jpeg 	
64 	Abandoned On The Trail 	Hamlin-Garland 	health 	129 	97 	this is a masterpiece on health by Hamlin-Garland 	1395 	images/book/health/94.jpeg 	
65 	Abba Thules Lament For His Son Prince Le Boo 	William-Lisle-Bowles 	health 	120 	84 	this is a masterpiece on health by William-Lisle-Bowles 	1100 	images/book/health/55.jpeg 	
66 	Abbe Mourets Transgression (La Faute De Labbe Mouret) 	Emile-Zola 	science 	133 	124 	this is a good book on science by Emile-Zola 	1352 	images/book/science/11.jpeg 	
67 	Abbey 	Elbert-Hubbard 	science 	132 	107 	there are breathtaking descriptions of science by Elbert-Hubbard 	1767 	images/book/science/27.jpeg 	
68 	Abbey, The 	Arthur-C.-Benson 	kids 	112 	80 	this is a masterpiece on kids by Arthur-C.-Benson 	1185 	images/book/kids/64.jpeg 	
69 	Abbey Asaroe 	William-Allingham 	fiction 	143 	102 	this is a masterpiece on fiction by William-Allingham 	1772 	images/book/fiction/11.jpeg 	
70 	Abbey Mason, The 	Thomas-Hardy 	health 	195 	157 	this book talks about health by Thomas-Hardy 	1364 	images/book/health/92.jpeg 	
71 	Abbot, The 	Sir Walter-Scott 	science 	137 	90 	there are breathtaking descriptions of science by Sir Walter-Scott 	1323 	images/book/science/43.jpeg 	
72 	Abbot Of Innisfallen, The 	William-Allingham 	kids 	174 	171 	there are breathtaking descriptions of kids by William-Allingham 	1359 	images/book/kids/55.jpeg 	
73 	Abbot Of Whalley, The 	John-Roby 	science 	180 	172 	there are breathtaking descriptions of science by John-Roby 	1348 	images/book/science/51.jpeg 	
74 	Abbots Ghost, or Maurice Trehernes Temptation, The 	Louisa-May-Alcott 	science 	191 	183 	this book talks about science by Louisa-May-Alcott 	1156 	images/book/science/57.jpeg 	
75 	Abbotsford and Newstead Abbey 	Washington-Irving 	science 	116 	73 	this is a good book on science by Washington-Irving 	1230 	images/book/science/23.jpeg 	
76 	Abbreviated Fox And His Sceptical Comrades, The 	Guy-Wetmore-Carryl 	biography 	181 	162 	this is a good book on biography by Guy-Wetmore-Carryl 	1228 	images/book/biography/43.jpeg 	
77 	Abd-El-Kader At Toulon; Or, The Caged Hawk 	William-Makepeace-Thackeray 	health 	187 	183 	there are breathtaking descriptions of health by William-Makepeace-Thackeray 	1916 	images/book/health/80.jpeg 	
78 	Abdallah The Adite 	Richard-Garnett 	fiction 	173 	135 	this is a good book on fiction by Richard-Garnett 	1034 	images/book/fiction/79.jpeg 	
79 	Abdallah The Unhappy 	Mary-Louisa-Molesworth 	science 	132 	109 	this is a good book on science by Mary-Louisa-Molesworth 	1524 	images/book/science/38.jpeg 	
80 	Abducted Ambassador, The 	Huan-Mee 	health 	152 	124 	this is a masterpiece on health by Huan-Mee 	1751 	images/book/health/128.jpeg 	
81 	Abductors, The 	Arthur-B.-Reeve 	kids 	177 	150 	this book talks about kids by Arthur-B.-Reeve 	1869 	images/book/kids/33.jpeg 	
82 	Abdul Aziz Has His: An Adventure In The Yildiz Kiosk 	Stephen-Leacock 	health 	184 	153 	this is a masterpiece on health by Stephen-Leacock 	1760 	images/book/health/97.jpeg 	
83 	Abduls Retreat 	Henry-W.-Nevinson 	health 	166 	143 	this book talks about health by Henry-W.-Nevinson 	1094 	images/book/health/136.jpeg 	
84 	Abe and Mawruss 	Montague-Glass 	biography 	160 	149 	this is a good book on biography by Montague-Glass 	1583 	images/book/biography/27.jpeg 	
85 	Abe Martin 	James-Whitcomb-Riley 	health 	195 	193 	this is a masterpiece on health by James-Whitcomb-Riley 	1208 	images/book/health/161.jpeg 	
86 	Abes Game Of Jacks 	Jacob-A.-Riis 	biography 	110 	85 	this book talks about biography by Jacob-A.-Riis 	1639 	images/book/biography/40.jpeg 	
87 	Abel And His Great Adventure 	Lucy-Maud-Montgomery 	kids 	112 	110 	this book talks about kids by Lucy-Maud-Montgomery 	1542 	images/book/kids/46.jpeg 	
88 	Abel Melveny 	Edgar-Lee-Masters 	biography 	182 	137 	this book talks about biography by Edgar-Lee-Masters 	1312 	images/book/biography/38.jpeg 	
89 	Abels Blood 	-Poet- Robert-Herrick 	health 	149 	144 	this is a good book on health by -Poet- Robert-Herrick 	1945 	images/book/health/89.jpeg 	
90 	Abelard And Eloisa 	Isaac-Disraeli 	science 	192 	145 	this is a masterpiece on science by Isaac-Disraeli 	1191 	images/book/science/24.jpeg 	
91 	Abelard And Heloise 	Franklin-P.-Adams 	science 	172 	169 	this book talks about science by Franklin-P.-Adams 	1346 	images/book/science/21.jpeg 	
92 	Abencerrage, The 	Washington-Irving 	fiction 	171 	143 	this is a good book on fiction by Washington-Irving 	1075 	images/book/fiction/52.jpeg 	
93 	Aberdeen 	Israel-Zangwill 	biography 	100 	81 	this book talks about biography by Israel-Zangwill 	1256 	images/book/biography/35.jpeg 	
94 	Aberdeen (April: 1905) 	Thomas-Hardy 	kids 	197 	194 	this is a masterpiece on kids by Thomas-Hardy 	1475 	images/book/kids/6.jpeg 	
95 	Abide In Me And I In You - The Souls Answer 	Harriet-Beecher-Stowe 	kids 	184 	160 	this is a good book on kids by Harriet-Beecher-Stowe 	1744 	images/book/kids/1.jpeg 	
96 	Abijahs Bubble 	Francis-Hopkinson-Smith 	science 	177 	137 	this is a good book on science by Francis-Hopkinson-Smith 	1012 	images/book/science/31.jpeg 	
97 	Abnegation 	Olive-Tilford-Dargan 	biography 	140 	130 	this is a masterpiece on biography by Olive-Tilford-Dargan 	1159 	images/book/biography/21.jpeg 	
98 	Abner, The Jew, Who Had Seen Nothing 	William-Hauff 	science 	135 	113 	this book talks about science by William-Hauff 	1809 	images/book/science/38.jpeg 	
99 	Aboard At A Ships Helm 	Walt-Whitman 	biography 	119 	89 	this is a masterpiece on biography by Walt-Whitman 	1426 	images/book/biography/28.jpeg 	
100 	Aboard The Galley 	Kenneth-Grahame 	health 	107 	72 	this book talks about health by Kenneth-Grahame 	1863 	images/book/health/97.jpeg 	
101 	Abolish Dirt 	Lemuel-K.-Washburn 	science 	141 	141 	there are breathtaking descriptions of science by Lemuel-K.-Washburn 	1800 	images/book/science/52.jpeg 	
102 	Abolition Of Catalogues, The 	Israel-Zangwill 	health 	185 	162 	this is a good book on health by Israel-Zangwill 	1657 	images/book/health/61.jpeg 	
103 	Abolition Of Money, The 	Israel-Zangwill 	science 	167 	165 	this is a good book on science by Israel-Zangwill 	1854 	images/book/science/5.jpeg 	
104 	Aboriginal Australian Love 	Henry-Theophilus-Finck 	kids 	114 	75 	there are breathtaking descriptions of kids by Henry-Theophilus-Finck 	1292 	images/book/kids/83.jpeg 	
105 	Aboriginal Death-Song 	Henry-Kendall 	health 	165 	139 	there are breathtaking descriptions of health by Henry-Kendall 	1603 	images/book/health/161.jpeg 	
106 	Aborigines 	Anton-Chekhov 	fiction 	117 	103 	there are breathtaking descriptions of fiction by Anton-Chekhov 	1502 	images/book/fiction/64.jpeg 	
107 	Abou Ben Woodrow 	Christopher-Morley 	health 	175 	150 	this is a good book on health by Christopher-Morley 	1202 	images/book/health/5.jpeg 	
108 	About Barbers 	Mark-Twain 	kids 	157 	113 	this book talks about kids by Mark-Twain 	1821 	images/book/kids/29.jpeg 	
109 	About Boys 	Edgar-A.-Guest 	kids 	129 	112 	this is a good book on kids by Edgar-A.-Guest 	1396 	images/book/kids/24.jpeg 	
110 	About Censorship 	John-Galsworthy 	science 	176 	133 	there are breathtaking descriptions of science by John-Galsworthy 	1851 	images/book/science/2.jpeg 	
111 	About Elizabeth Elizas Piano 	Lucretia-P.-Hale 	kids 	194 	153 	this is a good book on kids by Lucretia-P.-Hale 	1405 	images/book/kids/43.jpeg 	
112 	About Generosity 	Howard-J.-Chidley 	kids 	143 	132 	this is a masterpiece on kids by Howard-J.-Chidley 	1589 	images/book/kids/81.jpeg 	
113 	About Geology 	-Edgar W. Nye- Bill-Nye 	science 	178 	134 	there are breathtaking descriptions of science by -Edgar W. Nye- Bill-Nye 	1310 	images/book/science/3.jpeg 	
114 	About Ireland 	E.-Lynn-Linton 	kids 	128 	81 	this is a good book on kids by E.-Lynn-Linton 	1652 	images/book/kids/4.jpeg 	
115 	About Leisure 	Vernon-Lee 	fiction 	146 	133 	this is a good book on fiction by Vernon-Lee 	1130 	images/book/fiction/24.jpeg 	
116 	About Love 	Anton-Chekhov 	fiction 	124 	90 	this is a masterpiece on fiction by Anton-Chekhov 	1304 	images/book/fiction/44.jpeg 	
117 	About Magnanimous-Incident Literature 	Mark-Twain 	science 	181 	175 	this is a good book on science by Mark-Twain 	1026 	images/book/science/24.jpeg 	
118 	About May 	Ella-Wheeler-Wilcox 	health 	169 	137 	this is a masterpiece on health by Ella-Wheeler-Wilcox 	1102 	images/book/health/24.jpeg 	
119 	About My Dreams [Now the flowers are all folded] 	Hilda-Conkling 	science 	130 	104 	there are breathtaking descriptions of science by Hilda-Conkling 	1225 	images/book/science/9.jpeg 	
120 	About My Dreams [The babies that have no mothers any more] 	Hilda-Conkling 	kids 	154 	154 	this is a good book on kids by Hilda-Conkling 	1548 	images/book/kids/58.jpeg 	
121 	About Play-Acting 	Mark-Twain 	fiction 	110 	77 	this is a good book on fiction by Mark-Twain 	1724 	images/book/fiction/58.jpeg 	
122 	About Portraits 	-Edgar W. Nye- Bill-Nye 	kids 	101 	97 	there are breathtaking descriptions of kids by -Edgar W. Nye- Bill-Nye 	1467 	images/book/kids/25.jpeg 	
123 	About The Board 	Harrison-S.-Morris 	health 	178 	147 	there are breathtaking descriptions of health by Harrison-S.-Morris 	1175 	images/book/health/66.jpeg 	
124 	About The Monk Amador, Who Was A Glorious Abbot Of Turpenay 	Honore-de-Balzac 	biography 	166 	161 	this is a good book on biography by Honore-de-Balzac 	1706 	images/book/biography/22.jpeg 	
125 	About The Securities 	Richard-Le Gallienne 	kids 	138 	131 	this is a masterpiece on kids by Richard-Le Gallienne 	1454 	images/book/kids/0.jpeg 	
126 	About the sheltered garden ground 	Robert-Louis-Stevenson 	biography 	133 	91 	this is a masterpiece on biography by Robert-Louis-Stevenson 	1118 	images/book/biography/11.jpeg 	
127 	Above And Below 	James-Russell-Lowell 	health 	190 	180 	this book talks about health by James-Russell-Lowell 	1708 	images/book/health/113.jpeg 	
128 	Above The Battles Front 	Vachel-Lindsay 	kids 	198 	197 	this is a masterpiece on kids by Vachel-Lindsay 	1979 	images/book/kids/6.jpeg 	
129 	Above The Clouds 	Jean-Ingelow 	science 	162 	124 	this is a good book on science by Jean-Ingelow 	1411 	images/book/science/45.jpeg 	
130 	Above The Din 	Gilbert-Parker 	fiction 	175 	125 	this is a good book on fiction by Gilbert-Parker 	1865 	images/book/fiction/36.jpeg 	
131 	Above The Ruin Of Gods Holy Place 	Alan-Seeger 	health 	145 	141 	this is a good book on health by Alan-Seeger 	1133 	images/book/health/175.jpeg 	
132 	Above The Vales 	Madison-Julius-Cawein 	fiction 	187 	182 	this book talks about fiction by Madison-Julius-Cawein 	1368 	images/book/fiction/60.jpeg 	
133 	Above Where I Am Sitting, Oer These Stones 	Charles-Sangster 	kids 	161 	130 	this is a masterpiece on kids by Charles-Sangster 	1944 	images/book/kids/50.jpeg 	
134 	Abraham 	Montague-Rhodes-James 	science 	136 	112 	this book talks about science by Montague-Rhodes-James 	1959 	images/book/science/6.jpeg 	
135 	Abraham Lincoln 	Elbert-Hubbard 	science 	186 	141 	this is a masterpiece on science by Elbert-Hubbard 	1795 	images/book/science/50.jpeg 	
136 	Abraham Lincoln 	William-Cullen-Bryant 	science 	144 	113 	this is a masterpiece on science by William-Cullen-Bryant 	1658 	images/book/science/49.jpeg 	
137 	Abraham Lincoln 	Richard-King 	health 	199 	182 	this is a good book on health by Richard-King 	1688 	images/book/health/169.jpeg 	
138 	Abraham Lincoln 	James-Russell-Lowell 	fiction 	131 	102 	this is a masterpiece on fiction by James-Russell-Lowell 	1068 	images/book/fiction/6.jpeg 	
139 	Abraham Lincoln 	Mrs. J.-C.-Yule 	science 	181 	165 	there are breathtaking descriptions of science by Mrs. J.-C.-Yule 	1208 	images/book/science/15.jpeg 	
140 	Abraham Lincoln Walks At Midnight 	Vachel-Lindsay 	biography 	101 	97 	this is a masterpiece on biography by Vachel-Lindsay 	1360 	images/book/biography/24.jpeg 	
141 	Abraham Lincolns Second Inaugural Address 	Abraham-Lincoln 	biography 	131 	129 	this book talks about biography by Abraham-Lincoln 	1189 	images/book/biography/2.jpeg 	
142 	Abraham Lincoln, Born Feb. 12, 1809 	Walt-Whitman 	kids 	188 	173 	this book talks about kids by Walt-Whitman 	1412 	images/book/kids/55.jpeg 	
143 	Abrahams Guest 	Howard-J.-Chidley 	kids 	111 	68 	this is a good book on kids by Howard-J.-Chidley 	1526 	images/book/kids/11.jpeg 	
144 	Abrahams Sacrifice 	Rosanna-Eleanor-Leprohon 	fiction 	153 	126 	there are breathtaking descriptions of fiction by Rosanna-Eleanor-Leprohon 	1165 	images/book/fiction/4.jpeg 	
145 	Abram Morrison 	John-Greenleaf-Whittier 	health 	111 	107 	this is a masterpiece on health by John-Greenleaf-Whittier 	1173 	images/book/health/171.jpeg 	
146 	Abridgers 	Isaac-Disraeli 	fiction 	141 	115 	this is a good book on fiction by Isaac-Disraeli 	1447 	images/book/fiction/31.jpeg 	
147 	Absalom And Achitophel 	John-Dryden 	fiction 	117 	83 	this is a good book on fiction by John-Dryden 	1329 	images/book/fiction/70.jpeg 	
148 	Absaloms Hair; and A Painful Memory 	Bjornstjerne-Bjornson 	science 	199 	199 	there are breathtaking descriptions of science by Bjornstjerne-Bjornson 	1075 	images/book/science/21.jpeg 	
149 	Absence 	Amy-Lowell 	kids 	173 	129 	there are breathtaking descriptions of kids by Amy-Lowell 	1471 	images/book/kids/82.jpeg 	
150 	Absence 	Maurice-Hewlett 	health 	174 	171 	this is a good book on health by Maurice-Hewlett 	1955 	images/book/health/5.jpeg 	
151 	Absence 	James-Russell-Lowell 	health 	104 	80 	this is a masterpiece on health by James-Russell-Lowell 	1914 	images/book/health/158.jpeg 	
152 	Absence 	Fanny-Kemble 	fiction 	141 	106 	this is a masterpiece on fiction by Fanny-Kemble 	1382 	images/book/fiction/13.jpeg 	
153 	Absence 	John-Freeman 	science 	124 	83 	there are breathtaking descriptions of science by John-Freeman 	1587 	images/book/science/4.jpeg 	
154 	Absence 	William-Lisle-Bowles 	kids 	164 	143 	there are breathtaking descriptions of kids by William-Lisle-Bowles 	1396 	images/book/kids/17.jpeg 	
155 	Absence 	Paul-Laurence-Dunbar 	fiction 	124 	116 	there are breathtaking descriptions of fiction by Paul-Laurence-Dunbar 	1581 	images/book/fiction/20.jpeg 	
156 	Absence Of Mr Glass, The 	G.-K.-Chesterton 	fiction 	121 	80 	this book talks about fiction by G.-K.-Chesterton 	1444 	images/book/fiction/75.jpeg 	
157 	Absence Of The Past, The 	Hilaire-Belloc 	biography 	143 	130 	there are breathtaking descriptions of biography by Hilaire-Belloc 	1806 	images/book/biography/7.jpeg 	
158 	Absence [Sonnet] 	William-Lisle-Bowles 	health 	106 	74 	this is a good book on health by William-Lisle-Bowles 	1089 	images/book/health/127.jpeg 	
159 	Absence [Vignette 19] 	Matilda-Betham 	kids 	197 	176 	this is a masterpiece on kids by Matilda-Betham 	1813 	images/book/kids/95.jpeg 	
160 	Absence: A Farewell Ode on Quitting School for Jesus College, Cambridge 	Samuel-Taylor-Coleridge 	health 	150 	134 	this is a good book on health by Samuel-Taylor-Coleridge 	1268 	images/book/health/154.jpeg 	
161 	Absent Man, The 	Isaac-Disraeli 	biography 	108 	84 	this book talks about biography by Isaac-Disraeli 	1925 	images/book/biography/39.jpeg 	
162 	Absent Minded 	-Edgar W. Nye- Bill-Nye 	science 	186 	141 	this book talks about science by -Edgar W. Nye- Bill-Nye 	1945 	images/book/science/30.jpeg 	
163 	Absent Treatment 	P-G-Wodehouse 	health 	176 	141 	this is a masterpiece on health by P-G-Wodehouse 	1561 	images/book/health/11.jpeg 	
164 	Absent-Minded Man, The 	Jerome-K-Jerome 	kids 	113 	66 	this book talks about kids by Jerome-K-Jerome 	1474 	images/book/kids/45.jpeg 	
165 	Absentee, The 	Maria-Edgeworth 	biography 	147 	117 	this is a good book on biography by Maria-Edgeworth 	1846 	images/book/biography/43.jpeg 	
166 	Absinthe Drinker, The 	Arthur-Symons 	science 	176 	159 	this is a masterpiece on science by Arthur-Symons 	1542 	images/book/science/4.jpeg 	
167 	Absinthe Drinkers, The 	Robert-W.-Service 	biography 	171 	147 	this is a masterpiece on biography by Robert-W.-Service 	1469 	images/book/biography/34.jpeg 	
168 	Absolute Zero, The 	Arthur-B.-Reeve 	science 	109 	87 	this book talks about science by Arthur-B.-Reeve 	1608 	images/book/science/2.jpeg 	
169 	Absolutism And Empiricism 	William-James 	fiction 	167 	150 	this is a masterpiece on fiction by William-James 	1458 	images/book/fiction/59.jpeg 	
170 	Absolvo Te 	Gilbert-Parker 	health 	136 	118 	this is a masterpiece on health by Gilbert-Parker 	1179 	images/book/health/100.jpeg 	
171 	Abstract Of Swedenborgianism 	Thomas-De Quincey 	fiction 	197 	176 	there are breathtaking descriptions of fiction by Thomas-De Quincey 	1364 	images/book/fiction/21.jpeg 	
172 	Absurd Romance Of Ptite Louison, The 	Gilbert-Parker 	health 	131 	115 	this book talks about health by Gilbert-Parker 	1491 	images/book/health/122.jpeg 	
173 	Absurdity Of Young Peoples Wishes Exposed, The 	M. -Arnaud--Berquin 	science 	116 	94 	there are breathtaking descriptions of science by M. -Arnaud--Berquin 	1233 	images/book/science/29.jpeg 	
174 	Abt Vogler 	Robert-Browning 	fiction 	190 	189 	there are breathtaking descriptions of fiction by Robert-Browning 	1767 	images/book/fiction/50.jpeg 	
175 	Abu Midjan 	Archibald-Lampman 	health 	170 	155 	this is a masterpiece on health by Archibald-Lampman 	1783 	images/book/health/99.jpeg 	
